"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.2","beta",0.2,17,0.75,827,276,1103,0.636706971106988,498.307167047251,396.555432575242,0.831798648389146,0.488092538087665,0.432004361686903
"beta_alpha_0.2","beta",0.2,18,0.75,827,276,1103,0.61397924987621,487.691347289629,397.771688067124,0.734757088845803,0.507577831220201,0.434803483900004
"beta_alpha_0.2","beta",0.2,19,0.75,827,276,1103,0.628774902705105,485.850283010753,379.342305899732,0.836193380097826,0.494896900583847,0.423206543740941
"beta_alpha_0.2","beta",0.2,20,0.75,827,276,1103,0.624262989766085,508.853773812163,394.382941119465,0.808907865635923,0.502513461476051,0.421821805489979
"beta_alpha_0.2","beta",0.2,21,0.75,827,276,1103,0.65909351198336,471.207895114227,366.473650757202,0.907813770641027,0.477103326169107,0.421041985289065
"beta_alpha_0.2","beta",0.2,22,0.75,827,276,1103,0.643153225778902,470.469401844324,377.942793653952,0.792419013977085,0.486399822706572,0.428360908372023
"beta_alpha_0.2","beta",0.2,23,0.75,827,276,1103,0.589316731489952,504.799036850156,410.412815888635,0.77575273136101,0.541856381588609,0.414914256123093
"beta_alpha_0.2","beta",0.2,24,0.75,827,276,1103,0.59693062820331,490.428542771812,389.638557986073,0.815924996098382,0.532797983851234,0.431102037112087
"beta_alpha_0.2","beta",0.2,25,0.75,827,276,1103,0.640941979022821,488.170291726986,379.854276143295,0.901160855277972,0.517269276449479,0.423703216586366
"beta_alpha_0.2","beta",0.2,26,0.75,827,276,1103,0.545581587932607,528.141263976002,426.999543917657,0.728655677519099,0.469630061592598,0.417756550037279
"beta_alpha_0.2","beta",0.2,27,0.75,827,276,1103,0.686372297961811,448.62105201311,346.490739799863,0.918643499320507,0.509912850861026,0.420364769049778
"beta_alpha_0.2","beta",0.2,28,0.75,827,276,1103,0.61740223118158,521.905828858398,409.336849523848,0.808385926802298,0.460864380532275,0.423941183877034
"beta_alpha_0.2","beta",0.2,29,0.75,827,276,1103,0.649490658269092,478.52511938893,367.548406244253,0.804628681942193,0.530372003798132,0.430976811812779
"beta_alpha_0.2","beta",0.2,30,0.75,827,276,1103,0.57694307108661,501.594915446546,404.497039606561,0.744961891847834,0.515643031446832,0.429099533742492
"beta_alpha_0.4","beta",0.4,1,0.25,275,828,1103,0.336620603342974,827.547335123692,649.523015389716,0.27280328217665,0.505124992830933,0.372495673660985
"beta_alpha_0.4","beta",0.4,2,0.25,275,828,1103,0.381324076803849,677.609063879584,527.425981670357,0.384471110287128,0.527882521151204,0.376117545715281
"beta_alpha_0.4","beta",0.4,3,0.25,275,828,1103,0.536628250785783,613.95974175035,493.087706357397,0.498949149962558,0.519505842438413,0.366017067001014
"beta_alpha_0.4","beta",0.4,4,0.25,275,828,1103,0.535693853906128,632.796522589791,494.59588241053,0.55677003255622,0.507874519044916,0.376252196761888
"beta_alpha_0.4","beta",0.4,5,0.25,275,828,1103,0.342363291025153,838.179821462111,689.962049527656,0.276194429201963,0.488233753219761,0.369098252740289
"beta_alpha_0.4","beta",0.4,6,0.25,275,828,1103,0.458743222666848,637.694637493663,487.55702512216,0.434239762025994,0.506435221730014,0.367320188994376
"beta_alpha_0.4","beta",0.4,7,0.25,275,828,1103,0.457569229927885,724.6419291962,579.136275076763,0.399994513550806,0.495321107757616,0.370957526179737
"beta_alpha_0.4","beta",0.4,8,0.25,275,828,1103,0.437304775331099,679.418543089996,564.192359870592,0.415955314600416,0.491777879771955,0.364935246110334
"beta_alpha_0.4","beta",0.4,9,0.25,275,828,1103,0.438798548519256,662.36452617461,530.374121401436,0.404677935873391,0.513630267445915,0.370981652727864
"beta_alpha_0.4","beta",0.4,10,0.25,275,828,1103,0.318049942136656,699.145591488369,564.011447917085,0.336289558631794,0.520615501958422,0.371311840707204
"beta_alpha_0.4","beta",0.4,11,0.25,275,828,1103,0.481410404842154,664.587978097718,536.813839967794,0.465389099113175,0.508194653080858,0.37171114955301
"beta_alpha_0.4","beta",0.4,12,0.25,275,828,1103,0.375037145556077,744.545128814194,596.118793748469,0.328309511810536,0.515655954806992,0.370019065334152
"beta_alpha_0.4","beta",0.4,13,0.25,275,828,1103,0.424961558360812,716.236275166474,552.419915192206,0.37530910137787,0.49446362774965,0.366871631702601
"beta_alpha_0.4","beta",0.4,14,0.25,275,828,1103,0.448199856660232,707.514655414463,572.182463864801,0.384672532292667,0.531782855924611,0.371413211110007
"beta_alpha_0.4","beta",0.4,15,0.25,275,828,1103,0.396371113179994,666.211065973719,527.111596052559,0.392046125350754,0.499757454662977,0.374749554826981
"beta_alpha_0.4","beta",0.4,16,0.25,275,828,1103,0.543912427283935,659.935147344885,522.173754752374,0.463053213171648,0.48050676834969,0.366043139922932
