"config_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda","seed_da","seed_bglr"
"beta_alpha_population_informed",1.40104090407217,25,0.5,551,552,1103,0.438034010766823,692.474769876498,548.161508377374,0.412819623293641,0.494391130475748,0.269896289569967,325025,335025
"beta_alpha_population_informed",1.40104090407217,26,0.5,551,552,1103,0.301881816713464,754.121199584173,595.030741443281,0.278883484876956,0.501133405094019,0.255400372740474,325026,335026
"beta_alpha_population_informed",1.40104090407217,27,0.5,551,552,1103,0.489594470065578,674.928905613545,525.906096595153,0.422845863127322,0.526553127862065,0.260160863152269,325027,335027
"beta_alpha_population_informed",1.40104090407217,28,0.5,551,552,1103,0.527512947140137,667.568928225758,523.788010470307,0.483038041576148,0.495946191915617,0.252319906798028,325028,335028
"beta_alpha_population_informed",1.40104090407217,29,0.5,551,552,1103,0.442994330905145,687.518431237877,548.252529052664,0.403136284610487,0.492121422156579,0.25373360538971,325029,335029
"beta_alpha_population_informed",1.40104090407217,30,0.5,551,552,1103,0.360229360375212,729.044843167405,581.43742180184,0.3142583295323,0.495718256935971,0.261102849656608,325030,335030
"beta_alpha_population_informed",1.40104090407217,1,0.75,827,276,1103,0.638764323838781,489.809922608864,385.675684222896,0.918962819674432,0.515122887836175,0.247177841519296,327501,337501
"beta_alpha_population_informed",1.40104090407217,2,0.75,827,276,1103,0.652858876272308,465.329190465829,367.663589092109,0.896291906562022,0.503383027351831,0.261348084992377,327502,337502
"beta_alpha_population_informed",1.40104090407217,3,0.75,827,276,1103,0.70930313862549,433.498151584984,345.842692425407,0.984975111796855,0.517234497048834,0.263966420081296,327503,337503
"beta_alpha_population_informed",1.40104090407217,4,0.75,827,276,1103,0.664654715275963,501.138493175804,394.023991262231,0.892383895410601,0.5125488437681,0.251728687622524,327504,337504
"beta_alpha_population_informed",1.40104090407217,5,0.75,827,276,1103,0.617899091433188,511.13300708465,422.655274329357,0.823855290651425,0.481713333772254,0.253647637080785,327505,337505
